Player,Squad,Comp,Pos,primary_pos,Age,nineties,market_value_in_eur,market_value_eur_M,valuation_date,pos_group,perf_score,value_score
Saïd Benrahma,West Ham,Premier League,FWMF,FW,27,13.3,25000000.0,25.0,2023-06-20,FW,1.698563909774436,0.06794255639097745
Karim Benzema,Real Madrid,La Liga,FW,FW,35,11.6,25000000.0,25.0,2023-06-13,FW,2.563862068965517,0.10255448275862068
Domenico Berardi,Sassuolo,Serie A,FW,FW,28,10.2,18000000.0,18.0,2023-06-15,FW,2.230156862745098,0.12389760348583878
Álex Berenguer,Athletic Club,La Liga,FW,FW,27,15.2,15000000.0,15.0,2023-06-13,FW,1.2203684210526315,0.0813578947368421
Mergim Berisha,Augsburg,Bundesliga,FW,FW,24,12.7,12000000.0,12.0,2023-06-22,FW,1.74944094488189,0.14578674540682415
Beto,Udinese,Serie A,FW,FW,25,13.4,,,,FW,1.1883880597014926,
Beto,Udinese,Serie A,FW,FW,25,13.4,25000000.0,25.0,2023-06-15,FW,1.1883880597014926,0.047535522388059706
El Bilal Touré,Almería,La Liga,FW,FW,21,10.4,12000000.0,12.0,2023-06-13,FW,1.4766153846153844,0.12305128205128203
Federico Bonazzoli,Salernitana,Serie A,FW,FW,25,10.0,4000000.0,4.0,2023-06-15,FW,1.11,0.2775
Jarrod Bowen,West Ham,Premier League,FWMF,FW,26,21.9,38000000.0,38.0,2023-06-20,FW,1.283648401826484,0.03378022110069695
Lucas Boyé,Elche,La Liga,FW,FW,26,13.5,10000000.0,10.0,2023-06-13,FW,1.120074074074074,0.1120074074074074
Martin Braithwaite,Espanyol,La Liga,FWMF,FW,31,13.2,5000000.0,5.0,2023-06-13,FW,1.1097878787878788,0.22195757575757574
Marius Bülter,Schalke 04,Bundesliga,FWMF,FW,29,16.6,3000000.0,3.0,2023-06-22,FW,1.197722891566265,0.3992409638554217
Sergio Camello,Rayo Vallecano,La Liga,FW,FW,22,15.9,10000000.0,10.0,2023-06-13,FW,1.2534654088050314,0.12534654088050315
Sergio Canales,Betis,La Liga,FWMF,FW,31,16.2,15000000.0,15.0,2023-06-13,FW,1.5551851851851852,0.10367901234567901
Francesco Caputo,Sampdoria,Serie A,FW,FW,35,12.2,1500000.0,1.5,2023-06-15,FW,0.6889672131147541,0.459311475409836
Valentín Castellanos,Girona,La Liga,FW,FW,24,16.8,,,,FW,0.7090952380952382,
Samu Castillejo,Valencia,La Liga,FW,FW,28,10.7,6000000.0,6.0,2023-06-13,FW,1.333373831775701,0.22222897196261682
Edinson Cavani,Valencia,La Liga,FW,FW,35,10.5,3000000.0,3.0,2023-06-13,FW,1.2411904761904762,0.4137301587301587
Assan Ceesay,Lecce,Serie A,FW,FW,28,10.3,2500000.0,2.5,2023-06-15,FW,0.9112621359223301,0.36450485436893204
Fares Chaïbi,Toulouse,Ligue 1,FWMF,FW,20,15.2,,,,FW,1.304157894736842,
Samuel Chukwueze,Villarreal,La Liga,FWMF,FW,23,11.2,25000000.0,25.0,2023-06-13,FW,1.6192857142857144,0.06477142857142858
Lorenzo Colombo,Lecce,Serie A,FW,FW,20,11.0,5000000.0,5.0,2023-06-15,FW,1.3146363636363636,0.26292727272727273
Nuno da Costa,Auxerre,Ligue 1,FWMF,FW,32,12.8,1000000.0,1.0,2023-06-27,FW,1.096375,1.096375
Thijs Dallinga,Toulouse,Ligue 1,FW,FW,22,13.4,12000000.0,12.0,2023-06-27,FW,1.2633880597014928,0.10528233830845773
Jonathan David,Lille,Ligue 1,FW,FW,23,19.5,60000000.0,60.0,2023-06-27,FW,1.9943846153846154,0.03323974358974359
Ousmane Dembélé,Barcelona,La Liga,FW,FW,25,12.2,60000000.0,60.0,2023-06-13,FW,2.7298360655737706,0.045497267759562844
Ermedin Demirovi?,Augsburg,Bundesliga,FWMF,FW,24,16.7,,,,FW,1.4271616766467066,
Cyriel Dessers,Cremonese,Serie A,FW,FW,28,13.4,5000000.0,5.0,2023-06-15,FW,0.8718805970149254,0.17437611940298509
Gerard Deulofeu,Udinese,Serie A,FW,FW,28,13.5,10000000.0,10.0,2023-06-15,FW,2.768148148148148,0.2768148148148148
Federico Di Francesco,Lecce,Serie A,FWMF,FW,28,12.5,1800000.0,1.8,2023-06-15,FW,1.184,0.6577777777777777
Boulaye Dia,Salernitana,Serie A,FW,FW,26,16.3,25000000.0,25.0,2023-06-15,FW,1.6307975460122701,0.06523190184049081
Moussa Diaby,Leverkusen,Bundesliga,FW,FW,23,18.4,50000000.0,50.0,2023-06-22,FW,1.8694347826086957,0.03738869565217391
Habib Diallo,Strasbourg,Ligue 1,FW,FW,27,17.1,18000000.0,18.0,2023-06-27,FW,1.0647953216374269,0.05915529564652371
Ritsu Doan,Freiburg,Bundesliga,FWMF,FW,24,16.5,18000000.0,18.0,2023-06-22,FW,1.2822121212121211,0.07123400673400673
Marvin Ducksch,Werder Bremen,Bundesliga,FW,FW,28,18.5,7500000.0,7.5,2023-06-22,FW,2.068216216216216,0.27576216216216215
Edin D?eko,Inter,Serie A,FW,FW,36,14.4,,,,FW,2.019111111111111,
Odsonne Édouard,Crystal Palace,Premier League,FWMF,FW,25,12.1,15000000.0,15.0,2023-06-20,FW,1.2869338842975206,0.08579559228650138
Sepe Elye Wahi,Montpellier,Ligue 1,FW,FW,20,17.1,,,,FW,1.004356725146199,
Breel Embolo,Monaco,Ligue 1,FW,FW,25,17.1,20000000.0,20.0,2023-06-27,FW,2.004754385964912,0.10023771929824561
Roberto Firmino,Liverpool,Premier League,FWMF,FW,31,10.3,18000000.0,18.0,2023-06-20,FW,2.4166116504854367,0.13425620280474648
Phil Foden,Manchester City,Premier League,FWDF,FW,22,11.6,110000000.0,110.0,2023-06-20,FW,2.755448275862069,0.025049529780564263
Pablo Fornals,West Ham,Premier League,FWMF,FW,26,10.7,22000000.0,22.0,2023-06-20,FW,1.1314579439252337,0.05142990654205608
Chris Führich,Stuttgart,Bundesliga,FWMF,FW,25,13.1,4000000.0,4.0,2023-06-22,FW,1.4683435114503818,0.36708587786259544
Niclas Füllkrug,Werder Bremen,Bundesliga,FW,FW,30,18.5,13000000.0,13.0,2023-06-22,FW,1.7697027027027026,0.13613097713097713
Manolo Gabbiadini,Sampdoria,Serie A,FWMF,FW,31,11.8,2000000.0,2.0,2023-06-15,FW,1.1189830508474576,0.5594915254237288
Kévin Gameiro,Strasbourg,Ligue 1,FW,FW,35,15.5,1200000.0,1.2,2023-06-27,FW,1.2906129032258065,1.0755107526881722
Álvaro García,Rayo Vallecano,La Liga,FWMF,FW,30,16.5,,,,FW,1.5474242424242424,
Álvaro García,Rayo Vallecano,La Liga,FWMF,FW,30,16.5,6000000.0,6.0,2023-06-13,FW,1.5474242424242424,0.2579040404040404
Álvaro García,Rayo Vallecano,La Liga,FWMF,FW,30,16.5,200000.0,0.2,2023-06-30,FW,1.5474242424242424,7.737121212121211
Álvaro García,Rayo Vallecano,La Liga,FWMF,FW,30,16.5,,,,FW,1.5474242424242424,
Olivier Giroud,Milan,Serie A,FW,FW,36,15.0,4000000.0,4.0,2023-06-15,FW,1.5616666666666668,0.3904166666666667
Serge Gnabry,Bayern Munich,Bundesliga,FWMF,FW,27,12.3,55000000.0,55.0,2023-06-22,FW,2.8957073170731706,0.05264922394678492
Anthony Gordon,Everton,Premier League,FW,FW,21,12.2,35000000.0,35.0,2023-06-20,FW,0.8129016393442623,0.02322576112412178
Amine Gouiri,Rennes,Ligue 1,FW,FW,22,15.1,35000000.0,35.0,2023-06-27,FW,1.979026490066225,0.056543614001892145
Demarai Gray,Everton,Premier League,FWMF,FW,26,18.7,20000000.0,20.0,2023-06-20,FW,1.359427807486631,0.06797139037433156
Jack Grealish,Manchester City,Premier League,FW,FW,27,11.6,75000000.0,75.0,2023-06-20,FW,2.1934137931034483,0.02924551724137931
Michael Gregoritsch,Freiburg,Bundesliga,FW,FW,28,16.1,8000000.0,8.0,2023-06-22,FW,1.930782608695652,0.2413478260869565
Antoine Griezmann,Atlético Madrid,La Liga,FWMF,FW,31,14.1,25000000.0,25.0,2023-06-13,FW,2.694531914893617,0.10778127659574467
Vincenzo Grifo,Freiburg,Bundesliga,FWMF,FW,29,14.3,12000000.0,12.0,2023-06-22,FW,2.929230769230769,0.24410256410256406
Evann Guessand,Nantes,Ligue 1,FWMF,FW,21,10.5,4500000.0,4.5,2023-06-27,FW,1.2574761904761904,0.27943915343915343
Sehrou Guirassy,Stuttgart,Bundesliga,FW,FW,26,10.8,,,,FW,1.2935555555555553,
Emmanuel Gyasi,Spezia,Serie A,FWDF,FW,29,17.1,2000000.0,2.0,2023-06-15,FW,0.4634795321637427,0.23173976608187136
Erling Haaland,Manchester City,Premier League,FW,FW,22,18.2,180000000.0,180.0,2023-06-20,FW,2.3326263736263733,0.012959035409035407
Jack Harrison,Leeds United,Premier League,FWMF,FW,26,14.8,22000000.0,22.0,2023-06-20,FW,1.7855675675675673,0.08116216216216215
Kai Havertz,Chelsea,Premier League,FWMF,FW,23,17.7,55000000.0,55.0,2023-06-20,FW,1.0214858757062146,0.01857247046738572
Luiz Henrique,Betis,La Liga,FW,FW,22,12.9,300000.0,0.3,2022-08-05,FW,0.9365193798449611,3.1217312661498706
Luiz Henrique,Betis,La Liga,FW,FW,22,12.9,15000000.0,15.0,2023-06-13,FW,0.9365193798449611,0.06243462532299741
Luiz Henrique,Betis,La Liga,FW,FW,22,12.9,,,,FW,0.9365193798449611,
Luiz Henrique,Betis,La Liga,FW,FW,22,12.9,,,,FW,0.9365193798449611,
Thomas Henry,Hellas Verona,Serie A,FW,FW,28,11.4,4000000.0,4.0,2023-06-15,FW,0.754438596491228,0.188609649122807
